Sentence_ID,sentence,sen_len,token_index,token,lang_tag,split_token,ID,FORM,UPOS,HEAD ID,HEAD,DEPREL,Categories,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,1,porque,spa,porque,1,,SCONJ,5,come,cc,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,2,nada,spa,nada,2,,,,nan,,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,3,más,spa,más,3,,,,nan,,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,,,,,nada_más,2.1,,ADV,5,come,advmod,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,4,que,spa,que,4,,SCONJ,5,come,mark,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,5,come,spa,come,5,,VERB,0,root,root,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,6,pitta,eng,pitta,6,,,,nan,,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,7,bread,eng,bread,7,,,,nan,,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,,,,,pitta_bread,6.1,,NOUN,5,come,obj,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,8,pitta,eng,pitta,8,,,,nan,,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,9,bread,eng,bread,9,,,,nan,,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,,,,,pitta_bread,8.1,,NOUN,5,come,rep,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,10,y,spa,y,10,,CCONJ,11,pollo,cc,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,11,pollo,spa,pollo,11,,NOUN,5,come,conj,repitition,,,,,,
1522,porque nada más que come pitta bread pitta bread y pollo .,12,12,.,0,.,12,,PUNCT,5,come,punct,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,1,pero,spa,pero,1,,CCONJ,6,es,discourse,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,2,bueno,spa,bueno,2,,ADV,6,es,discourse,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,3,eso,spa,eso,3,,PRON,6,es,nsubj,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,4,eso,spa,eso,4,,PRON,6,es,rep,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,5,eso,spa,eso,5,,PRON,6,es,rep,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,6,es,spa,es,6,,VERB,0,root,root,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,7,y,eng,y,7,,CCONJ,6,es,cc,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,8,después,spa,después,8,,ADV,6,es,advmod,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,9,te,spa,te,9,,PRON,6,es,dep,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,10,lo,spa,lo,10,,PRON,6,es,dep,repitition,,,,,,
6979,pero bueno eso eso eso es y después te lo .,11,11,.,0,.,11,,PUNCT,6,es,punct,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,1,y,spa,y,1,,CCONJ,3,eso,cc,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,2,arriba,spa,arriba,2,,ADV,3,eso,advmod,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,3,eso,spa,eso,3,,PRON,5,haciéndo,obl,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,4,está,spa,está,4,,AUX,5,haciéndo,aux,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,5,haciéndole,spa,haciéndo,5,,VERB,0,root,root,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,,,,,le,6,,PRON,5,haciéndo,iobj,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,6,las,spa,las,7,,DET,8,carticas,det,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,7,carticas,spa,carticas,8,,NOUN,5,haciéndo,obj,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,8,esas,spa,esas,9,,PRON,8,carticas,dislocated,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,9,de,spa,de,10,,ADP,12,pronunciation,case,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,10,de,spa,de,11,,ADP,12,pronunciation,case,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,11,pronunciation,eng,pronunciation,12,,NOUN,8,carticas,nmod,repitition,,,,,,
12217,y arriba eso está haciéndole las carticas esas de de pronunciation .,12,12,.,0,.,13,,PUNCT,5,haciéndo,punct,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,1,sí,spa,sí,1,,ADV,8,entiendo,disc,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,2,sí,spa,sí,2,,ADV,8,entiendo,rep,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,3,sí,spa,sí,3,,ADV,8,entiendo,rep,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,4,I,eng,I,4,,PRON,8,entiendo,nsubj,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,5,I,eng,I,5,,PRON,8,entiendo,rep,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,6,entiendo,spa,entiendo,6,,VERB,8,entiendo,rep,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,7,te,spa,te,7,,PRON,8,entiendo,obj,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,8,entiendo,spa,entiendo,8,,VERB,0,root,root,repitition,,,,,,
13991,sí sí sí I I entiendo te entiendo .,9,9,.,0,.,9,,PUNCT,8,entiendo,punct,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,1,no,spa,no,1,,ADV,4,es,advmod,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,2,el,spa,el,2,,DET,3,quince,det,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,3,quince,spa,quince,3,,NOUN,4,es,nsubj,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,4,es,spa,es,4,,VERB,7.1,mummy_day_college,cop,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,5,el,spa,el,5,,DET,7.1,mummy_day_college,det,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,6,el,spa,el,6,,DET,7.1,mummy_day_college,rep,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,7,mummy,eng,mummy,7,,,,nan,,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,8,day,eng,day,8,,,,nan,,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,9,college,eng,college,9,,,,nan,,repitition,,,,,,
15236,no el quince es el el mummy day college .,10,,,,mummy_day_college,7.1,,NOUN,0,root,root,repitition,,,,,,
